iter	Passed	Remaining
977	5858	131
978	5864	125
979	5870	119
980	5876	113
981	5882	107
982	5887	101
983	5893	95
984	5899	89
985	5906	83
986	5913	77
987	5919	71
988	5925	65
989	5931	59
990	5938	53
991	5944	47
992	5950	41
993	5955	35
994	5961	29
995	5968	23
996	5974	17
997	5980	11
998	5986	5
999	5992	0
